,accuracy,precision,recall,f1,roc_auc
Naive Bayes,0.7301255230125523,0.7131782945736435,0.7698744769874477,0.7404426559356136,0.7665657113846045
BERT,0.8096234309623431,0.7720588235294118,0.8786610878661087,0.821917808219178,0.9002118310253673
